user_id,average_time_minutes
4e0521677630b9df7d69717098024419179910e1fff66d24a1affbc084b0c91f,39.11
74130f3f5de109961e12f22e8c802dc8fdafda2a045b60556cf2e604bfa98e62,50.76
7b8f402162b5d8012c075cade7c331dc7ceccafc93de5a03bc1c272ef55477e6,34.84
a043a79b8262033eade50cd80b31b9c4883a3a77294634d2b91267e90c886c2a,59.01
c104b2e862e69bbd850a7ddfb49e6d6455be36f0bc74774f4057def99ef25715,187.66
e1c3694b2b58532d7fd48283fdc8d6b6fd791397452fc45f9268af48015babd8,27.16
0655466fd378fe385057e604caa841586385e597ffc4476c55f8a5ab1420ee23,34.55
0f771d9f23cfb11c3d4271b99a52338274bd854a6d35a45b407d3ec1454ee066,12.4
2ce6372d8e47cd1c465371a104a6d9f293962269fa5cfa39dd2b314129d5868c,34.42
43015974eaa3408f53ef825bb02b22c5d92bde234967d6b0385f9075e0a125f8,62.27
6018c36204963372a7189faf8150ce8d289209f26f8c8393d7cf71b2a58eea7e,37.98
76446247b0285670c669d9b145ac54bee3c85a0f7fc65307c80cc87810b0f37f,10.72
aed8e43934a437172f79d00c61f032336dadad271e454041561977a57b2c3dc8,28.89
38c251af3a688f6be3b3c63a5d09a416e55e8a2dc01e16f01488b29a1d7bc542,103.99
7805405e7a1fb5dc2b231e3c4b204a46615e0ce7b603de5883dd685a0aae5062,15.1
83446c4f1550da01765de0c8c0b8dbfd006f13350316dc7eb5af5f6715c3cda4,0.0
8a335d678e142688d041a785bbd9e294935f185184acf0dc7687e4039b1b3cb6,168.02
a616645881fd566ab4d48e7492acf08c80cf1b50a2c8cf187184c11db6e78a5f,3.67
b2086824aff95faac63c04342026b082de32b91179ee48c4b71bd2ebb425ee58,29.63
bdffe32d31b768192e4f0569ac5ec776eeeff298b01bf064795aad92a697963e,9.5
fa4abe751163f363847d3d59e34d65b58ccb00808b3b37e22fa3e9b430162355,57.34
3b371be16de038bd4b1865342b9506e692031bc0239c271590fa7a2d5d386d94,2.8
75be96a629627a118c3f9a534303ec96b708ab01d9e5db533663f18f9289cab3,0.0
d377749451561792ecaaaa85b9e9b9f3243f8ddfe5d7bd539765af367432328c,27.38
df7ed131a04989cd1afa118193f7bbcb23bb89c233b57f388f99bebcd948de02,35.54
00a52eb26d5b84881fea69429e91d2e7e7cb1004db83f867a1a38214da5def41,6.16
